formatted_date	price
2002-01-15	1130.199951171875
2002-02-15	1106.72998046875
2002-03-15	1147.3900146484375
2002-04-15	1076.9200439453125
2002-05-15	1067.1400146484375
2002-06-15	989.8200073242188
2002-07-15	911.6199951171875
2002-08-15	916.0700073242188
2002-09-15	815.280029296875
2002-10-15	885.760009765625
2002-11-15	936.3099975585938
2002-12-15	879.8200073242188
2003-01-15	855.7000122070312
2003-02-15	841.1500244140625
2003-03-15	848.1799926757812
2003-04-15	916.9199829101562
2003-05-15	963.5900268554688
2003-06-15	974.5
2003-07-15	990.3099975585938
2003-08-15	1008.010009765625
2003-09-15	995.969970703125
2003-10-15	1050.7099609375
2003-11-15	1058.199951171875
2003-12-15	1111.9200439453125
2004-01-15	1131.1300048828125
2004-02-15	1144.93994140625
2004-03-15	1126.2099609375
2004-04-15	1107.300048828125
2004-05-15	1120.6800537109375
2004-06-15	1140.8399658203125
2004-07-15	1101.719970703125
2004-08-15	1104.239990234375
2004-09-15	1114.5799560546875
2004-10-15	1130.199951171875
2004-11-15	1173.8199462890625
2004-12-15	1211.9200439453125
2005-01-15	1181.27001953125
2005-02-15	1203.5999755859375
2005-03-15	1180.5899658203125
2005-04-15	1156.8499755859375
2005-05-15	1191.5
2005-06-15	1191.3299560546875
2005-07-15	1234.1800537109375
2005-08-15	1220.3299560546875
2005-09-15	1228.81005859375
2005-10-15	1207.010009765625
2005-11-15	1249.47998046875
2005-12-15	1248.2900390625
2006-01-15	1280.0799560546875
2006-02-15	1280.6600341796875
2006-03-15	1294.8699951171875
2006-04-15	1310.6099853515625
2006-05-15	1270.0899658203125
2006-06-15	1270.199951171875
2006-07-15	1276.6600341796875
2006-08-15	1303.8199462890625
2006-09-15	1335.8499755859375
2006-10-15	1377.93994140625
2006-11-15	1400.6300048828125
2006-12-15	1418.300048828125
2007-01-15	1438.239990234375
2007-02-15	1406.8199462890625
2007-03-15	1420.8599853515625
2007-04-15	1482.3699951171875
2007-05-15	1530.6199951171875
2007-06-15	1503.3499755859375
2007-07-15	1455.27001953125
2007-08-15	1473.989990234375
2007-09-15	1526.75
2007-10-15	1549.3800048828125
2007-11-15	1481.1400146484375
2007-12-15	1468.3599853515625
2008-01-15	1378.550048828125
2008-02-15	1330.6300048828125
2008-03-15	1322.699951171875
2008-04-15	1385.5899658203125
2008-05-15	1400.3800048828125
2008-06-15	1280.0
2008-07-15	1267.3800048828125
2008-08-15	1282.8299560546875
2008-09-15	1166.3599853515625
2008-10-15	968.75
2008-11-15	896.239990234375
2008-12-15	903.25
2009-01-15	825.8800048828125
2009-02-15	735.0900268554688
2009-03-15	797.8699951171875
2009-04-15	872.8099975585938
2009-05-15	919.1400146484375
2009-06-15	919.3200073242188
2009-07-15	987.47998046875
2009-08-15	1020.6199951171875
2009-09-15	1057.0799560546875
2009-10-15	1036.18994140625
2009-11-15	1095.6300048828125
2009-12-15	1115.0999755859375
2010-01-15	1073.8699951171875
2010-02-15	1104.489990234375
2010-03-15	1169.4300537109375
2010-04-15	1186.68994140625
2010-05-15	1089.4100341796875
2010-06-15	1030.7099609375
2010-07-15	1101.5999755859375
2010-08-15	1049.3299560546875
2010-09-15	1141.199951171875
2010-10-15	1183.260009765625
2010-11-15	1180.550048828125
2010-12-15	1257.6400146484375
2011-01-15	1286.1199951171875
2011-02-15	1327.219970703125
2011-03-15	1325.8299560546875
2011-04-15	1363.6099853515625
2011-05-15	1345.199951171875
2011-06-15	1320.6400146484375
2011-07-15	1292.280029296875
2011-08-15	1218.8900146484375
2011-09-15	1131.4200439453125
2011-10-15	1253.300048828125
2011-11-15	1246.9599609375
2011-12-15	1257.5999755859375
2012-01-15	1312.4100341796875
2012-02-15	1365.6800537109375
2012-03-15	1408.469970703125
2012-04-15	1397.9100341796875
2012-05-15	1310.3299560546875
2012-06-15	1362.1600341796875
2012-07-15	1379.3199462890625
2012-08-15	1406.5799560546875
2012-09-15	1440.6700439453125
2012-10-15	1412.1600341796875
2012-11-15	1416.1800537109375
2012-12-15	1426.18994140625
2013-01-15	1498.1099853515625
2013-02-15	1514.6800537109375
2013-03-15	1569.18994140625
2013-04-15	1597.5699462890625
2013-05-15	1630.739990234375
2013-06-15	1606.280029296875
2013-07-15	1685.72998046875
2013-08-15	1632.969970703125
2013-09-15	1681.550048828125
2013-10-15	1756.5400390625
2013-11-15	1805.81005859375
2013-12-15	1848.3599853515625
2014-01-15	1782.5899658203125
2014-02-15	1859.449951171875
2014-03-15	1872.3399658203125
2014-04-15	1883.949951171875
2014-05-15	1923.5699462890625
2014-06-15	1960.22998046875
2014-07-15	1930.6700439453125
2014-08-15	2003.3699951171875
2014-09-15	1972.2900390625
2014-10-15	2018.050048828125
2014-11-15	2067.56005859375
2014-12-15	2058.89990234375
2015-01-15	1994.989990234375
2015-02-15	2104.5
2015-03-15	2067.889892578125
2015-04-15	2085.510009765625
2015-05-15	2107.389892578125
2015-06-15	2063.110107421875
2015-07-15	2103.840087890625
2015-08-15	1972.1800537109375
2015-09-15	1920.030029296875
2015-10-15	2079.360107421875
2015-11-15	2080.409912109375
2015-12-15	2043.93994140625
2016-01-15	1940.239990234375
2016-02-15	1932.22998046875
2016-03-15	2059.739990234375
2016-04-15	2065.300048828125
2016-05-15	2096.949951171875
2016-06-15	2098.860107421875
2016-07-15	2173.60009765625
2016-08-15	2170.949951171875
2016-09-15	2168.27001953125
2016-10-15	2126.14990234375
2016-11-15	2198.81005859375
2016-12-15	2238.830078125
2017-01-15	2278.8701171875
2017-02-15	2363.639892578125
2017-03-15	2362.719970703125
