formatted_date	price
2002-01-15	1146.18994140625
2002-02-15	1104.1800537109375
2002-03-15	1166.1600341796875
2002-04-15	1102.550048828125
2002-05-15	1091.0699462890625
2002-06-15	1007.27001953125
2002-07-15	917.9299926757812
2002-08-15	930.25
2002-09-15	889.8099975585938
2002-10-15	881.27001953125
2002-11-15	909.8300170898438
2002-12-15	889.47998046875
2003-01-15	918.219970703125
2003-02-15	834.8900146484375
2003-03-15	833.27001953125
2003-04-15	890.8099975585938
2003-05-15	946.6699829101562
2003-06-15	988.6099853515625
2003-07-15	1000.4199829101562
2003-08-15	990.6699829101562
2003-09-15	1014.8099975585938
2003-10-15	1046.760009765625
2003-11-15	1050.3499755859375
2003-12-15	1068.0400390625
2004-01-15	1132.050048828125
2004-02-15	1145.81005859375
2004-03-15	1104.489990234375
2004-04-15	1128.8399658203125
2004-05-15	1095.699951171875
2004-06-15	1132.010009765625
2004-07-15	1106.68994140625
2004-08-15	1064.800048828125
2004-09-15	1120.3699951171875
2004-10-15	1108.199951171875
2004-11-15	1183.81005859375
2004-12-15	1205.719970703125
2005-01-15	1184.52001953125
2005-02-15	1210.1199951171875
2005-03-15	1197.75
2005-04-15	1142.6199951171875
2005-05-15	1154.050048828125
2005-06-15	1206.5799560546875
2005-07-15	1227.9200439453125
2005-08-15	1233.8699951171875
2005-09-15	1227.72998046875
2005-10-15	1186.5699462890625
2005-11-15	1229.010009765625
2005-12-15	1270.93994140625
2006-01-15	1287.6099853515625
2006-02-15	1280.0
2006-03-15	1303.02001953125
2006-04-15	1289.1199951171875
2006-05-15	1294.5
2006-06-15	1256.1600341796875
2006-07-15	1236.199951171875
2006-08-15	1285.5799560546875
2006-09-15	1319.6600341796875
2006-10-15	1365.6199951171875
2006-11-15	1396.5699462890625
2006-12-15	1427.0899658203125
2007-01-15	1430.72998046875
2007-02-15	1456.81005859375
2007-03-15	1392.280029296875
2007-04-15	1452.8499755859375
2007-05-15	1501.18994140625
2007-06-15	1532.9100341796875
2007-07-15	1552.5
2007-08-15	1406.699951171875
2007-09-15	1484.25
2007-10-15	1548.7099609375
2007-11-15	1451.1500244140625
2007-12-15	1467.949951171875
2008-01-15	1380.949951171875
2008-02-15	1349.989990234375
2008-03-15	1288.1400146484375
2008-04-15	1334.4300537109375
