dates	acc
1985-01-15	
1985-02-15	
1985-03-15	
1985-04-15	
1985-05-15	
1985-06-15	
1985-07-15	
1985-08-15	
1985-09-15	
1985-10-15	
1985-11-15	
1985-12-15	
1986-01-15	
1986-02-15	
1986-03-15	
1986-04-15	
1986-05-15	
1986-06-15	
1986-07-15	
1986-08-15	
1986-09-15	
1986-10-15	
1986-11-15	
1986-12-15	
1987-01-15	
1987-02-15	
1987-03-15	
1987-04-15	
1987-05-15	
1987-06-15	
1987-07-15	
1987-08-15	
1987-09-15	
1987-10-15	
1987-11-15	
1987-12-15	
1988-01-15	
1988-02-15	
1988-03-15	
1988-04-15	
1988-05-15	
1988-06-15	
1988-07-15	
1988-08-15	
1988-09-15	
1988-10-15	
1988-11-15	
1988-12-15	
1989-01-15	
1989-02-15	
1989-03-15	
1989-04-15	
1989-05-15	
1989-06-15	
1989-07-15	
1989-08-15	
1989-09-15	
1989-10-15	
1989-11-15	
1989-12-15	
1990-01-15	
1990-02-15	
1990-03-15	
1990-04-15	
1990-05-15	
1990-06-15	
1990-07-15	
1990-08-15	
1990-09-15	
1990-10-15	
1990-11-15	
1990-12-15	
1991-01-15	
1991-02-15	
1991-03-15	
1991-04-15	
1991-05-15	
1991-06-15	
1991-07-15	
1991-08-15	
1991-09-15	
1991-10-15	
1991-11-15	
1991-12-15	
1992-01-15	
1992-02-15	
1992-03-15	
1992-04-15	
1992-05-15	
1992-06-15	
1992-07-15	
1992-08-15	
1992-09-15	
1992-10-15	
1992-11-15	
1992-12-15	
1993-01-15	
1993-02-15	
1993-03-15	
1993-04-15	
1993-05-15	
1993-06-15	
1993-07-15	
1993-08-15	
1993-09-15	
1993-10-15	
1993-11-15	
1993-12-15	
1994-01-15	
1994-02-15	
1994-03-15	
1994-04-15	
1994-05-15	
1994-06-15	
1994-07-15	
1994-08-15	
1994-09-15	
1994-10-15	
1994-11-15	
1994-12-15	
1995-01-15	
1995-02-15	
1995-03-15	
1995-04-15	
1995-05-15	
1995-06-15	
1995-07-15	
1995-08-15	
1995-09-15	
1995-10-15	
1995-11-15	
1995-12-15	
1996-01-15	
1996-02-15	
1996-03-15	
1996-04-15	
1996-05-15	
1996-06-15	
1996-07-15	
1996-08-15	
1996-09-15	
1996-10-15	
1996-11-15	
1996-12-15	
1997-01-15	
1997-02-15	
1997-03-15	
1997-04-15	
1997-05-15	
1997-06-15	
1997-07-15	
1997-08-15	
1997-09-15	
1997-10-15	
1997-11-15	
1997-12-15	
1998-01-15	
1998-02-15	
1998-03-15	
1998-04-15	
1998-05-15	
1998-06-15	
1998-07-15	
1998-08-15	
1998-09-15	
1998-10-15	
1998-11-15	
1998-12-15	
1999-01-15	
1999-02-15	
1999-03-15	
1999-04-15	
1999-05-15	
1999-06-15	
1999-07-15	
1999-08-15	
1999-09-15	
1999-10-15	
1999-11-15	
1999-12-15	
2000-01-15	
2000-02-15	
2000-03-15	
2000-04-15	
2000-05-15	
2000-06-15	
2000-07-15	
2000-08-15	
2000-09-15	
2000-10-15	
2000-11-15	
2000-12-15	
2001-01-15	
2001-02-15	
2001-03-15	
2001-04-15	
2001-05-15	
2001-06-15	
2001-07-15	
2001-08-15	
2001-09-15	
2001-10-15	
2001-11-15	
2001-12-15	
2002-01-15	0.9166666666666666
2002-02-15	0.8333333333333334
2002-03-15	0.75
2002-04-15	0.6666666666666666
2002-05-15	0.5833333333333334
2002-06-15	0.5
2002-07-15	0.4166666666666667
2002-08-15	0.3333333333333333
2002-09-15	0.25
2002-10-15	0.16666666666666666
2002-11-15	0.3333333333333333
2002-12-15	0.3333333333333333
2003-01-15	0.3333333333333333
2003-02-15	0.3333333333333333
2003-03-15	0.3333333333333333
2003-04-15	0.4166666666666667
2003-05-15	0.5833333333333334
2003-06-15	0.75
2003-07-15	0.6666666666666666
2003-08-15	0.6666666666666666
2003-09-15	0.6666666666666666
2003-10-15	0.6666666666666666
2003-11-15	0.6666666666666666
2003-12-15	0.6666666666666666
2004-01-15	0.75
2004-02-15	0.8333333333333334
2004-03-15	0.8333333333333334
2004-04-15	0.9166666666666666
2004-05-15	1.0
2004-06-15	1.0
2004-07-15	1.0
2004-08-15	1.0
2004-09-15	1.0
2004-10-15	1.0
2004-11-15	1.0
2004-12-15	1.0
2005-01-15	1.0
2005-02-15	1.0
2005-03-15	1.0
2005-04-15	1.0
2005-05-15	1.0
2005-06-15	1.0
2005-07-15	1.0
2005-08-15	1.0
2005-09-15	1.0
2005-10-15	1.0
2005-11-15	1.0
2005-12-15	1.0
2006-01-15	1.0
2006-02-15	1.0
2006-03-15	1.0
2006-04-15	1.0
2006-05-15	1.0
2006-06-15	1.0
2006-07-15	1.0
2006-08-15	1.0
2006-09-15	1.0
2006-10-15	1.0
2006-11-15	1.0
2006-12-15	1.0
2007-01-15	1.0
2007-02-15	1.0
2007-03-15	1.0
2007-04-15	1.0
2007-05-15	1.0
2007-06-15	1.0
2007-07-15	1.0
2007-08-15	1.0
2007-09-15	1.0
2007-10-15	1.0
2007-11-15	1.0
2007-12-15	1.0
2008-01-15	1.0
2008-02-15	0.9166666666666666
2008-03-15	0.8333333333333334
2008-04-15	0.75
2008-05-15	0.6666666666666666
2008-06-15	0.5833333333333334
2008-07-15	0.5
2008-08-15	0.4166666666666667
2008-09-15	0.3333333333333333
2008-10-15	0.25
2008-11-15	0.16666666666666666
2008-12-15	0.16666666666666666
2009-01-15	0.16666666666666666
2009-02-15	0.16666666666666666
2009-03-15	0.25
2009-04-15	0.4166666666666667
2009-05-15	0.4166666666666667
2009-06-15	0.75
2009-07-15	0.8333333333333334
2009-08-15	0.9166666666666666
2009-09-15	0.9166666666666666
2009-10-15	0.9166666666666666
2009-11-15	0.9166666666666666
2009-12-15	0.9166666666666666
2010-01-15	0.9166666666666666
2010-02-15	0.9166666666666666
2010-03-15	0.9166666666666666
2010-04-15	0.9166666666666666
2010-05-15	1.0
2010-06-15	1.0
2010-07-15	1.0
2010-08-15	1.0
2010-09-15	1.0
2010-10-15	1.0
2010-11-15	1.0
2010-12-15	1.0
2011-01-15	1.0
2011-02-15	1.0
2011-03-15	1.0
2011-04-15	1.0
2011-05-15	1.0
2011-06-15	1.0
2011-07-15	1.0
2011-08-15	1.0
2011-09-15	1.0
2011-10-15	1.0
2011-11-15	1.0
2011-12-15	1.0
2012-01-15	1.0
2012-02-15	1.0
2012-03-15	1.0
2012-04-15	1.0
2012-05-15	1.0
2012-06-15	1.0
2012-07-15	0.9166666666666666
2012-08-15	0.8333333333333334
2012-09-15	0.75
2012-10-15	0.6666666666666666
2012-11-15	0.5833333333333334
2012-12-15	0.5
2013-01-15	0.4166666666666667
2013-02-15	0.3333333333333333
2013-03-15	0.25
2013-04-15	0.16666666666666666
2013-05-15	0.16666666666666666
2013-06-15	0.16666666666666666
2013-07-15	0.16666666666666666
2013-08-15	0.16666666666666666
2013-09-15	0.16666666666666666
2013-10-15	0.16666666666666666
2013-11-15	0.16666666666666666
2013-12-15	0.16666666666666666
2014-01-15	0.16666666666666666
2014-02-15	0.16666666666666666
2014-03-15	0.16666666666666666
2014-04-15	0.16666666666666666
2014-05-15	0.25
2014-06-15	0.3333333333333333
2014-07-15	0.4166666666666667
2014-08-15	0.5
2014-09-15	0.5833333333333334
2014-10-15	0.6666666666666666
2014-11-15	0.75
2014-12-15	0.8333333333333334
2015-01-15	0.9166666666666666
2015-02-15	1.0
2015-03-15	1.0
2015-04-15	1.0
2015-05-15	1.0
2015-06-15	0.9166666666666666
2015-07-15	0.8333333333333334
2015-08-15	0.75
2015-09-15	0.6666666666666666
2015-10-15	0.5833333333333334
2015-11-15	0.5
2015-12-15	0.4166666666666667
2016-01-15	0.3333333333333333
2016-02-15	0.25
